date,country,year_week,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source,return_lcu,dlog_fx,return_usd,vol_parkinson,vol_squared,vol_absolute,log_vol_parkinson,log_vol_squared,log_vol_absolute
2010-01-08,Indonesia,2010-W01,2614.3701171875,2533.947998046875,2622.115966796875,2532.89599609375,2614.268310546875,246186500,Jakarta Composite Index,^JKSE,IDR,yfinance,,-0.6470042267800918,,0.0004322411157635115,,,-7.746503852112103,,
2010-01-15,Indonesia,2010-W02,2647.090087890625,2615.60791015625,2661.927978515625,2615.60791015625,2646.987060546875,253844100,Jakarta Composite Index,^JKSE,IDR,yfinance,1.2437761091375157,0.764884475139768,0.4788916339977477,0.00011114062524803851,1.5469790096612572,1.2437761091375157,-9.104624292306386,0.43630400954761217,0.21815200958173236
2010-01-22,Indonesia,2010-W03,2610.340087890625,2645.44189453125,2689.77490234375,2580.16796875,2610.238525390625,169756600,Jakarta Composite Index,^JKSE,IDR,yfinance,-1.3980441905404464,0.6187937022207695,-2.016837892761216,0.0006242579011652113,1.954527558703892,1.3980441905404464,-7.378930952939679,0.6701485113976936,0.33507426029353354
2010-01-29,Indonesia,2010-W04,2610.7958984375,2609.73095703125,2619.97802734375,2554.882080078125,2610.6943359375,157086000,Jakarta Composite Index,^JKSE,IDR,yfinance,0.0174602059485364,-0.8070073006027613,0.8244675065512977,0.00022831320526085422,0.00030485879176530596,0.0174602059485364,-8.384748365875744,-8.095629064848952,-4.04783036046066
2010-02-05,Indonesia,2010-W05,2518.97607421875,2610.593017578125,2613.673095703125,2506.888916015625,2518.878173828125,174094000,Jakarta Composite Index,^JKSE,IDR,yfinance,-3.5802617580709413,0.8613070350526202,-4.441568793123562,0.0006275943824812199,12.818274256305227,3.5802617580709413,-7.373600554208776,2.5508718298187363,1.275435917312392
2010-02-12,Indonesia,2010-W06,2534.136962890625,2518.60693359375,2536.56591796875,2431.837890625,2534.038330078125,172282600,Jakarta Composite Index,^JKSE,IDR,yfinance,0.6000631314892668,-0.068612447657388,0.6686755791466548,0.0006412026091010442,0.3600757617727051,0.6000631314892668,-7.352149472573436,-1.0214407925327853,-0.5107203934874459
2010-02-25,Indonesia,2010-W08,2549.032958984375,2554.779052734375,2583.695068359375,2536.092041015625,2548.933837890625,115418400,Jakarta Composite Index,^JKSE,IDR,yfinance,0.5860924959426664,-0.183005903918461,0.7690983998611275,0.00012472827334410053,0.3435044138003045,0.5860924959426664,-8.989292829000735,-1.068555288799155,-0.5342776418932779
2010-03-05,Indonesia,2010-W09,2578.77197265625,2548.8310546875,2585.83203125,2545.89306640625,2578.671630859375,128986800,Jakarta Composite Index,^JKSE,IDR,yfinance,1.1599250555733438,-4.724562133740188,5.884487189313531,8.738943236885674e-05,1.3454261345468248,1.1599250555733438,-9.34502176995938,0.29671079896613994,0.14835540438802183
2010-03-12,Indonesia,2010-W10,2666.510986328125,2578.97412109375,2687.117919921875,2578.97412109375,2666.4072265625,183974700,Jakarta Composite Index,^JKSE,IDR,yfinance,3.3457565151905557,-0.0896313789665961,3.4353878941571514,0.0006085874801846629,11.194086658940051,3.3457565151905557,-7.404353460857226,2.415385662885153,1.2076928339847728
2010-03-19,Indonesia,2010-W11,2742.97412109375,2666.409912109375,2779.35595703125,2658.554931640625,2742.8671875,194313100,Jakarta Composite Index,^JKSE,IDR,yfinance,2.827190620385157,-0.1086015888519477,2.9357922092371047,0.000712187779807069,7.993006803993809,2.827190620385157,-7.247154904498288,2.078567011138678,1.0392835084808723
2010-03-26,Indonesia,2010-W12,2813.08203125,2742.672119140625,2814.861083984375,2698.262939453125,2812.97265625,177118200,Jakarta Composite Index,^JKSE,IDR,yfinance,2.5237913180496427,-0.2159351774898932,2.739726495539536,0.0006454934224013441,6.369522617062753,2.5237913180496427,-7.3454800457530665,1.8515245259693942,0.9257622661620016
2010-04-01,Indonesia,2010-W13,2829.99609375,2813.490966796875,2834.240966796875,2758.261962890625,2829.885986328125,171314300,Jakarta Composite Index,^JKSE,IDR,yfinance,0.5994640788905092,-0.6789956649086797,1.278459743799189,0.00026631935727961436,0.35935718188004667,0.5994640788905092,-8.23077682984007,-1.0234384216877495,-0.5117192080760412
2010-04-09,Indonesia,2010-W14,2845.010986328125,2831.031005859375,2916.10888671875,2831.031005859375,2844.900390625,288145500,Jakarta Composite Index,^JKSE,IDR,yfinance,0.5291597843755322,-0.7179825706890898,1.247142355064622,0.00031620430932959454,0.28001007740035977,0.5291597843755322,-8.059090380166047,-1.2729296500319673,-0.6364648239746
2010-04-16,Indonesia,2010-W15,2878.6708984375,2845.614013671875,2913.718017578125,2845.614013671875,2878.558837890625,244302300,Jakarta Composite Index,^JKSE,IDR,yfinance,1.1761764831224275,0.0555333460551885,1.120643137067239,0.00020175117998593147,1.383391119450242,1.1761764831224275,-8.508425837301585,0.3245378250271998,0.16226891740141847
2010-04-23,Indonesia,2010-W16,2924.73095703125,2877.968017578125,2927.39404296875,2811.7880859375,2924.616943359375,232416300,Jakarta Composite Index,^JKSE,IDR,yfinance,1.587380192239736,-1.1077884892121137,2.6951686814518494,0.000585534446612784,2.519775874715061,1.587380192239736,-7.44296846557407,0.924169962931532,0.46208498578115054
2010-04-30,Indonesia,2010-W17,2971.251953125,2924.931884765625,2972.9169921875,2875.66796875,2971.136474609375,248152700,Jakarta Composite Index,^JKSE,IDR,yfinance,1.5780901082019752,0.2906097593944666,1.2874803488075086,0.0003989546120991302,2.490368389604922,1.5780901082019752,-7.826637836488609,0.9124306511814134,0.45621532991974534
2010-05-07,Indonesia,2010-W18,2739.3330078125,2971.7470703125,2996.4189453125,2705.205078125,2739.226318359375,229654000,Jakarta Composite Index,^JKSE,IDR,yfinance,-8.126893407227245,-0.574257517989447,-7.552635889237798,0.0037701414705512784,66.04639645243365,8.126893407227245,-5.580640100464266,4.19035747175758,2.095178737033568
2010-05-14,Indonesia,2010-W19,2858.385009765625,2739.927001953125,2869.486083984375,2739.927001953125,2858.27392578125,163787300,Jakarta Composite Index,^JKSE,IDR,yfinance,4.25423204777969,0.0054921214351974,4.248739926344493,0.0007698921733372188,18.09849031635578,4.25423204777969,-7.169247098801778,2.8958285274095323,1.4479142657791004
2010-05-21,Indonesia,2010-W20,2623.220947265625,2857.989013671875,2857.989013671875,2584.968994140625,2623.118896484375,196754000,Jakarta Composite Index,^JKSE,IDR,yfinance,-8.585385153593501,1.517843117250043,-10.103228270843545,0.0036359912074542546,73.70883823554371,8.585385153593501,-5.616870770583832,4.300122713925771,2.1500613580598213
2010-05-27,Indonesia,2010-W21,2713.923095703125,2623.716064453125,2732.06201171875,2502.053955078125,2713.8173828125,322933500,Jakarta Composite Index,^JKSE,IDR,yfinance,3.3992292963616477,-1.73419933740537,5.133428633767018,0.0027895459985801435,11.554759809243302,3.3992292963616477,-5.881872836106878,2.447097457637818,1.2235487313280304
